,name,index
Human GBM / peri-tumor astrocytes,human,1
Human GBM / peri-tumor astrocytes.1,human,1
Human GBM / peri-tumor astrocytes.2,human,1
Human GBM / peri-tumor astrocytes.3,human,1
Human sclerotic hippocampi astrocytes,human,1
Human sclerotic hippocampi astrocytes.1,human,1
Human sclerotic hippocampi astrocytes.2,human,1
Human sclerotic hippocampi astrocytes.3,human,1
Human fetal astrocytes,human,1
Human fetal astrocytes.1,human,1
Human fetal astrocytes.2,human,1
Human fetal astrocytes.3,human,1
Human fetal astrocytes.4,human,1
Human fetal astrocytes.5,human,1
Human mature astrocytes,human,1
Human mature astrocytes.1,human,1
Human mature astrocytes.2,human,1
Human mature astrocytes.3,human,1
Human mature astrocytes.4,human,1
Human mature astrocytes.5,human,1
Human mature astrocytes.6,human,1
Human mature astrocytes.7,human,1
Human mature astrocytes.8,human,1
Human mature astrocytes.9,human,1
Human mature astrocytes.10,human,1
Human mature astrocytes.11,human,1
Human Neurons,human,1
Human Oligodendrocytes,human,1
Human Oligodendrocytes.1,human,1
Human Oligodendrocytes.2,human,1
Human Oligodendrocytes.3,human,1
Human Oligodendrocytes.4,human,1
Human Microglia/Macrophage,human,1
Human Microglia/Macrophage.1,human,1
Human Microglia/Macrophage.2,human,1
Human Endothelial,human,1
Human Endothelial.1,human,1
Human whole cortex,human,1
Human whole cortex.1,human,1
Human whole cortex.2,human,1
Human whole cortex.3,human,1
Mouse astrocytes-FACS,mouse,0
Mouse astrocytes-FACS.1,mouse,0
Mouse astrocytes-immunopanned,mouse,0
Mouse astrocytes-immunopanned.1,mouse,0
Mouse astrocytes-immunopanned.2,mouse,0
Mouse astrocytes-immunopanned.3,mouse,0
Mouse neurons,mouse,0
Mouse neurons.1,mouse,0
Mouse oligodendrocytes,mouse,0
Mouse oligodendrocytes.1,mouse,0
Mouse oligodendrocytes.2,mouse,0
Mouse oligodendrocytes.3,mouse,0
Mouse oligodendrocytes.4,mouse,0
Mouse oligodendrocytes.5,mouse,0
Mouse microglia,mouse,0
Mouse microglia.1,mouse,0
Mouse endothelial,mouse,0
Mouse endothelial.1,mouse,0
Mouse whole brain,mouse,0
Mouse whole brain.1,mouse,0
Mouse whole brain.2,mouse,0
