"ARIMethod","ARIbatchMedian","ARIbatchMedian_norm","ARIcelltypeMedian","ARIcelltypeMedian_norm","ARI_fscore","ARI_summedXY"
"bbknn",0.0299730821137432,0.080122975493129,0.510913855155618,0.487982780576856,0.637683022963969,1.40785980508373
"bbknn",0.301635052698289,0.758331704196001,0.5036357912428,0.479906299542375,0.321458483444353,0.721574595346374
"ComBat",0.0214752519389857,0.0589079979710487,0.509363721196332,0.486262594044689,0.6412111459901,1.42735459607364
"Harmony",0.0979110011105619,0.249731145434646,0.513494744054344,0.490846797778732,0.593445202372523,1.24111565234409
"limma",0.0214752519389857,0.0589079979710487,0.509227023454605,0.48611090030694,0.641079246166342,1.42720290233589
"MNN_Correct",0.10105549998084,0.257581440331021,0.498124924383789,0.47379088035899,0.578438435689711,1.21620944002797
"quantnorm",-0.00212082126787589,0,0.972314560675211,1,1,2
"Raw",0.304570884508624,0.765661058229208,0.503980646944897,0.480288986555155,0.314990244272027,0.714627928325947
"scAEQN",-0.00183935932476728,0.000702674526740659,0.883604499611433,0.901558280563131,0.947915008024823,1.90085560603639
"Scanorama",0.0784386606602915,0.201118116407319,0.0711716146637023,0,0,0.798881883592681
"scbatch",0.39843723569509,1,0.538982565564792,0.519130680622467,0,0.519130680622467
"scVI",-0.00153562977813291,0.00146094050430518,0.953306396722182,0.97890660517606,0.988625374977251,1.97744566467175
