method,asw_bn_mean,asw_bn_sum_mean,asw_cln_mean,asw_fscore_mean
bbknn,0.6168863277882337,0.38311367221176623,0.6179132115095853,0.47297322108390744
combat,0.5119408306200057,0.4880591693799943,0.639034403860569,0.5534323262636457
harmony,0.5308784134685993,0.4691215865314007,0.6479955419898034,0.5442354722821217
limma,0.5161083518061786,0.4838916481938213,0.6403833582997323,0.5512433815933399
mnn,0.5719360373914242,0.4280639626085758,0.6242457028478384,0.5078629361543616
quantnorm,0.5550063034519553,0.44499369654804466,0.6795450486242771,0.5378071830334317
raw,0.618107333779335,0.381892666220665,0.6189275182783603,0.47233726240233465
scAEQN,0.5492903493344784,0.4507096506655216,0.6242735605686903,0.5234767511419817
scanorama,0.5220654860138894,0.4779345139861107,0.5035750471695792,0.4904107749536589
scbatch,0.60883997566998,0.39116002433001995,0.6328334830701351,0.48347426591313364
scvi,0.5262820811010898,0.4737179188989103,0.616316033154726,0.5356872401033255
